Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_643,,Hypothetical protein,2,60,407,68,0.488997555,53.125,0.005569206,1.06E-40,6.22E-37,3.21E-39,1,1,1,1,1
group_771,,Putative uncharacterized protein,0,55,409,73,0,57.03125,0,1.07E-39,6.30E-36,3.20E-38,1,0,1,1,1
group_2447,,hypothetical protein,0,55,409,73,0,57.03125,0,1.07E-39,6.30E-36,3.20E-38,1,0,1,1,1
group_3123,,Methyl-accepting chemotaxis protein,0,55,409,73,0,57.03125,0,1.07E-39,6.30E-36,3.20E-38,1,0,1,1,1
group_1798,,transposase A-OrfA,236,0,173,128,57.70171149,100,inf,1.40E-39,8.19E-36,4.12E-38,1,1,0,1,1
group_2657,,transposase,236,0,173,128,57.70171149,100,inf,1.40E-39,8.19E-36,4.12E-38,1,1,0,1,1
group_607,,Tgh003,107,115,302,13,26.16136919,10.15625,0.040051828,2.52E-39,1.48E-35,7.40E-38,1,1,1,1,1
hddC,,putative D-glycero-D-manno-heptose 1-phosphate guanosyltransferase,286,9,123,119,69.92665037,92.96875,30.74435411,3.13E-39,1.84E-35,9.13E-38,1,1,1,1,1
group_68,,hypothetical protein (617 family),235,0,174,128,57.45721271,100,inf,3.24E-39,1.90E-35,9.40E-38,1,1,0,1,1
panC,,pantoate--beta-alanine ligase,76,105,333,23,18.58190709,17.96875,0.04999285,3.50E-39,2.05E-35,1.01E-37,1,1,1,1,1
group_2206,,hypothetical protein,355,32,54,96,86.79706601,75,19.72222222,3.54E-39,2.08E-35,1.02E-37,1,1,1,1,1
group_409,,galactosyltransferase,233,0,176,128,56.96821516,100,inf,1.35E-38,7.94E-35,3.87E-37,1,1,0,1,1
group_3276,,putative acetyltransferase,75,104,334,24,18.33740831,18.75,0.051819438,1.37E-38,8.03E-35,3.88E-37,1,1,1,1,1
group_2748,,putative periplasmic beta-lactamase,75,104,334,24,18.33740831,18.75,0.051819438,1.37E-38,8.03E-35,3.88E-37,1,1,1,1,1
group_2711,,hypothetical protein,232,0,177,128,56.72371638,100,inf,1.54E-38,9.01E-35,4.33E-37,1,1,0,1,1
group_403,,galactosyltransferase,231,0,178,128,56.4792176,100,inf,2.23E-38,1.31E-34,6.20E-37,1,1,0,1,1
group_1116,,"lipooligosaccharide biosynthesis glycosyltransferase, putative",231,0,178,128,56.4792176,100,inf,2.23E-38,1.31E-34,6.20E-37,1,1,0,1,1
group_3270,,hypothetical protein,231,0,178,128,56.4792176,100,inf,2.23E-38,1.31E-34,6.20E-37,1,1,0,1,1
group_476,,"C4-dicarboxylate anaerobic carrier, putative",376,44,33,84,91.93154034,65.625,21.75206612,2.88E-38,1.69E-34,7.97E-37,1,1,1,1,1
panD,,aspartate alpha-decarboxylase,76,104,333,24,18.58190709,18.75,0.052668053,3.03E-38,1.78E-34,8.33E-37,1,1,1,1,1
group_1063,,Putative ABC transport system permease,409,75,0,53,100,41.40625,inf,4.52E-38,2.65E-34,1.20E-36,1,1,0,1,1
cjaC,,Histidine-binding protein precursor,409,75,0,53,100,41.40625,inf,4.52E-38,2.65E-34,1.20E-36,1,1,0,1,1
group_3007,,hypothetical protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
group_777,,hypothetical protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
group_3006,cjaC,cjaC protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
group_3739,,hypothetical protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
group_3554,,Putative uncharacterized protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
group_4063,,hypothetical protein,0,53,409,75,0,58.59375,0,4.52E-38,2.65E-34,1.20E-36,1,0,1,1,1
panB,,3-methyl-2-oxobutanoate,77,104,332,24,18.82640587,18.75,0.053521779,6.65E-38,3.90E-34,1.75E-36,1,1,1,1,1
group_2598,,hypothetical protein,229,0,180,128,55.99022005,100,inf,7.21E-38,4.23E-34,1.89E-36,1,1,0,1,1
group_695,,"Adhesive protein CupB5, putative",228,0,181,128,55.74572127,100,inf,1.09E-37,6.39E-34,2.85E-36,1,1,0,1,1
group_236,,Sugar phosphate permease,75,103,334,25,18.33740831,19.53125,0.054502645,1.15E-37,6.72E-34,2.98E-36,1,1,1,1,1
group_305,,putative CRISPR-associated protein,42,88,367,40,10.26894866,31.25,0.052018826,2.21E-37,1.30E-33,5.73E-36,1,1,1,1,1
tarS,,hypothetical protein,227,0,182,128,55.50122249,100,inf,2.49E-37,1.46E-33,6.37E-36,1,1,0,1,1
group_2097,,hypothetical protein,227,0,182,128,55.50122249,100,inf,2.49E-37,1.46E-33,6.37E-36,1,1,0,1,1
group_2098,,"putative site-specific recombinase, phage integrase family",227,0,182,128,55.50122249,100,inf,2.49E-37,1.46E-33,6.37E-36,1,1,0,1,1
group_4064,,hypothetical protein,0,52,409,76,0,59.375,0,2.89E-37,1.69E-33,7.26E-36,1,0,1,1,1
group_4065,,hypothetical protein,0,52,409,76,0,59.375,0,2.89E-37,1.69E-33,7.26E-36,1,0,1,1,1
group_4066,,hypothetical protein,0,52,409,76,0,59.375,0,2.89E-37,1.69E-33,7.26E-36,1,0,1,1,1
group_4068,,hypothetical protein,0,52,409,76,0,59.375,0,2.89E-37,1.69E-33,7.26E-36,1,0,1,1,1
fmt_1,,Methionyl-tRNA formyltransferase,59,96,350,32,14.42542787,25,0.056190476,3.22E-37,1.89E-33,8.06E-36,1,1,1,1,1
group_397,,Putative outer-membrane protein,226,0,183,128,55.25672372,100,inf,3.36E-37,1.97E-33,8.35E-36,1,1,0,1,1
group_1426,,hypothetical protein,226,0,183,128,55.25672372,100,inf,3.36E-37,1.97E-33,8.35E-36,1,1,0,1,1
group_1829,,Putative oxidoreductase subunit,55,94,354,34,13.44743276,26.5625,0.056196658,4.83E-37,2.83E-33,1.20E-35,1,1,1,1,1
group_1447,,hypothetical protein,224,0,185,128,54.76772616,100,inf,1.08E-36,6.32E-33,2.63E-35,1,1,0,1,1
group_3134,,Putative uncharacterized protein,224,0,185,128,54.76772616,100,inf,1.08E-36,6.32E-33,2.63E-35,1,1,0,1,1
group_3459,,hypothetical protein,224,0,185,128,54.76772616,100,inf,1.08E-36,6.32E-33,2.63E-35,1,1,0,1,1
group_3565,,hypothetical protein,0,51,409,77,0,60.15625,0,1.82E-36,1.07E-32,4.43E-35,1,0,1,1,1
group_575,cgtA,"Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)",34,82,375,46,8.312958435,35.9375,0.050861789,3.88E-36,2.28E-32,9.40E-35,1,1,1,1,1
group_184,cipA,Invasion phenotype protein,220,0,189,128,53.78973105,100,inf,1.33E-35,7.79E-32,3.17E-34,1,1,0,1,1
maf6,,motility accessory factor (function unknown),220,0,189,128,53.78973105,100,inf,1.33E-35,7.79E-32,3.17E-34,1,1,0,1,1
group_1084,,hypothetical protein,220,0,189,128,53.78973105,100,inf,1.33E-35,7.79E-32,3.17E-34,1,1,0,1,1
group_3455,,hypothetical protein,220,0,189,128,53.78973105,100,inf,1.33E-35,7.79E-32,3.17E-34,1,1,0,1,1
group_8,,Putative uncharacterized protein,219,0,190,128,53.54523227,100,inf,1.48E-35,8.68E-32,3.48E-34,1,1,0,1,1
group_2601,,"putative site-specific recombinase, phage integrase family",219,0,190,128,53.54523227,100,inf,1.48E-35,8.68E-32,3.48E-34,1,1,0,1,1
pyrC,,Dihydroorotase,219,0,190,128,53.54523227,100,inf,1.48E-35,8.68E-32,3.48E-34,1,1,0,1,1
bioC,,Biotin biosynthesis protein BioC,323,24,86,104,78.97310513,81.25,16.2751938,5.66E-35,3.32E-31,1.33E-33,1,1,1,1,1
group_4059,,"phage anti-repressor protein, putative",0,49,409,79,0,61.71875,0,7.03E-35,4.12E-31,1.62E-33,1,0,1,1,1
group_4060,,hypothetical protein,0,49,409,79,0,61.71875,0,7.03E-35,4.12E-31,1.62E-33,1,0,1,1,1
group_4061,,hypothetical protein,0,49,409,79,0,61.71875,0,7.03E-35,4.12E-31,1.62E-33,1,0,1,1,1
group_4062,,hypothetical protein,0,49,409,79,0,61.71875,0,7.03E-35,4.12E-31,1.62E-33,1,0,1,1,1
group_2385,,RelE/ParE family plasmid stabilization system protein,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
group_2388,,hypothetical protein,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
group_2950,,hypothetical protein,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
dinB,,DNA polymerase IV,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
group_2952,,hypothetical protein,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
group_3458,,hypothetical protein,224,1,185,127,54.76772616,99.21875,153.772973,8.80E-35,5.16E-31,1.98E-33,1,1,1,1,1
group_959,bioC,Biotin biosynthesis protein BioC,87,104,322,24,21.27139364,18.75,0.062350693,1.16E-34,6.79E-31,2.60E-33,1,1,1,1,1
group_2390,,hypothetical protein,222,1,187,127,54.27872861,99.21875,150.7700535,2.67E-34,1.57E-30,5.98E-33,1,1,1,1,1
group_871,,CAAX amino terminal protease family protein,280,12,129,116,68.4596577,90.625,20.98191214,2.92E-34,1.71E-30,6.50E-33,1,1,1,1,1
group_231,,di-/tripeptide transporter,353,37,56,91,86.30806846,71.09375,15.50337838,3.66E-34,2.14E-30,8.12E-33,1,1,1,1,1
group_3453,,hypothetical protein,221,1,188,127,54.03422983,99.21875,149.2925532,3.94E-34,2.31E-30,8.71E-33,1,1,1,1,1
cipA,,Invasion phenotype protein,142,119,267,9,34.71882641,7.03125,0.040222831,4.02E-34,2.36E-30,8.86E-33,1,1,1,1,1
group_1716,,HAD-superfamily subfamily IB hydrolase,23,72,386,56,5.623471883,43.75,0.046344272,7.26E-34,4.26E-30,1.59E-32,1,1,1,1,1
group_2640,,putative lipoprotein,211,0,198,128,51.58924205,100,inf,7.52E-34,4.41E-30,1.64E-32,1,1,0,1,1
xerH,,Tyrosine recombinase XerH,270,10,139,118,66.01466993,92.1875,22.92086331,7.56E-34,4.43E-30,1.65E-32,1,1,1,1,1
group_760,,putative methyltransferase,210,0,199,128,51.34474328,100,inf,1.89E-33,1.11E-29,4.10E-32,1,1,0,1,1
glnH,,Glutamine-binding periplasmic protein,200,128,209,0,48.8997555,0,0,2.19E-33,1.28E-29,4.70E-32,1,0,1,1,1
group_2641,glnH,putative glutamine binding periplasmic protein,209,0,200,128,51.1002445,100,inf,2.19E-33,1.28E-29,4.70E-32,1,1,0,1,1
group_468,,hypothetical protein,209,0,200,128,51.1002445,100,inf,2.19E-33,1.28E-29,4.70E-32,1,1,0,1,1
group_1075,,putative transcription regulator,203,128,206,0,49.63325183,0,0,8.62E-33,5.05E-29,1.84E-31,1,0,1,1,1
group_1443,,hypothetical protein,205,0,204,128,50.12224939,100,inf,1.97E-32,1.16E-28,4.20E-31,1,1,0,1,1
group_1297,,putative N-acetyltransferase,360,43,49,85,88.0195599,66.40625,14.52301851,4.46E-32,2.61E-28,9.47E-31,1,1,1,1,1
group_2917,,putative transcriptional regulator,201,0,208,128,49.14425428,100,inf,9.39E-32,5.50E-28,1.98E-30,1,1,0,1,1
group_2658,,hypothetical protein,201,0,208,128,49.14425428,100,inf,9.39E-32,5.50E-28,1.98E-30,1,1,0,1,1
zupT_2,,putative integral membrane protein,55,87,354,41,13.44743276,32.03125,0.07321904,2.25E-31,1.32E-27,4.74E-30,1,1,1,1,1
group_1373,,hypothetical protein,76,96,333,32,18.58190709,25,0.076076076,2.35E-31,1.38E-27,4.93E-30,1,1,1,1,1
group_1994,,C4-dicarboxylate transporter,0,44,409,84,0,65.625,0,5.41E-31,3.17E-27,1.12E-29,1,0,1,1,1
group_603,,hypothetical protein,0,44,409,84,0,65.625,0,5.41E-31,3.17E-27,1.12E-29,1,0,1,1,1
group_1045,,putative lipoprotein,0,44,409,84,0,65.625,0,5.41E-31,3.17E-27,1.12E-29,1,0,1,1,1
group_2936,,putative MCP-domain signal transduction protein,196,0,213,128,47.92176039,100,inf,1.64E-30,9.64E-27,3.39E-29,1,1,0,1,1
group_773,,Putative uncharacterized protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_2409,,Putative uncharacterized protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_3120,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4048,,Hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4049,,Hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4051,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4052,,NAD-dependent epimerase/dehydratase,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4053,,Hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4054,,Hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
rfbH,,Lipopolysaccharide biosynthesis protein rfbH,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4056,rfbF,Glucose-1-phosphate cytidylyltransferase,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4057,,Hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_2034,,"McrBC restriction endonuclease system, McrB subunit, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_3119,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_3999,,"transcriptional regulator, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4000,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4001,,"bacteriophage DNA transposition protein A, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4002,,"bacteriophage DNA transposition protein B, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4003,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4004,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4005,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4006,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4007,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4008,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4009,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
dns,,extracellular deoxyribonuclease,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4011,,"DNA-binding protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4012,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4013,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4014,,"tail protein D, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4015,,"tail protein X, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4016,,"phage tail protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4017,,"prophage MuSo1, F protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4018,,Mu-like prophage FluMu protein gp29,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4019,,phage uncharacterized protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4020,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4021,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4022,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4023,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4024,,"Mu-like prophage I protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4025,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4026,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4027,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4028,,"lipoprotein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4029,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4030,,"baseplate assembly protein V, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4031,,"baseplate assembly protein W, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4032,,"baseplate assembly protein J, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4033,,"phage tail protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4034,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4035,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4036,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4037,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4038,,major tail sheath protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4039,,"phage major tail tube protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4040,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4041,,"tail tape measure protein, TP901 family",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4042,,"phage virion morphogenesis protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4043,,DNA adenine methylase,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4044,,Putative uncharacterized protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4045,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4046,,hypothetical protein,0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
group_4047,,"phage repressor protein, putative",0,43,409,85,0,66.40625,0,3.15E-30,1.84E-26,5.32E-29,1,0,1,1,1
arsR,,"Transcriptional regulator, ArsR family",355,43,54,85,86.79706601,66.40625,12.9952627,3.24E-30,1.90E-26,5.46E-29,1,1,1,1,1
gmhA-2,,Phosphoheptose isomerase,272,14,137,114,66.50366748,89.0625,16.16684046,3.34E-30,1.96E-26,5.60E-29,1,1,1,1,1
group_3013,,hypothetical protein,12,58,397,70,2.93398533,54.6875,0.0364805,5.83E-30,3.42E-26,9.76E-29,1,1,1,1,1
group_1391,,DNA/RNA non-specific endonuclease,10,56,399,72,2.444987775,56.25,0.032223416,6.89E-30,4.04E-26,1.15E-28,1,1,1,1,1
group_914,,Formyl transferase domain protein,53,84,356,44,12.95843521,34.375,0.077982879,7.91E-30,4.64E-26,1.32E-28,1,1,1,1,1
group_427,,Putative uncharacterized protein,60,87,349,41,14.66992665,32.03125,0.081019662,1.28E-29,7.51E-26,2.13E-28,1,1,1,1,1
group_704,,hypothetical protein,54,84,355,44,13.20293399,34.375,0.079678068,1.80E-29,1.06E-25,2.98E-28,1,1,1,1,1
group_3121,,Putative uncharacterized protein,0,42,409,86,0,67.1875,0,1.81E-29,1.06E-25,2.98E-28,1,0,1,1,1
group_3122,,Putative glycosyltransferase,0,42,409,86,0,67.1875,0,1.81E-29,1.06E-25,2.98E-28,1,0,1,1,1
dapH,,acetyltransferase,188,0,221,128,45.96577017,100,inf,4.49E-29,2.63E-25,7.36E-28,1,1,0,1,1
group_739,,hypothetical protein,188,0,221,128,45.96577017,100,inf,4.49E-29,2.63E-25,7.36E-28,1,1,0,1,1
group_3124,,site-specific DNA-methyltransferase,5,49,404,79,1.222493888,61.71875,0.019953526,9.34E-29,5.47E-25,1.52E-27,1,1,1,1,1
group_2508,,hypothetical protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3015,,Putative uncharacterized protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_772,,Putative uncharacterized protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
zupT,,Zinc transporter zupT,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3016,,hypothetical protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3592,,hypothetical protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3593,,hypothetical protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3594,,putative sugar transferase,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_3595,,polysaccharide deacetylase family protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_4050,,hypothetical protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_1077,,putative ATP/GTP binding protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_2410,,Putative uncharacterized protein,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_4133,lpxB,Lipid-A-disaccharide synthase,0,41,409,87,0,67.96875,0,1.03E-28,6.05E-25,1.63E-27,1,0,1,1,1
group_2712,,putative periplasmic protein,187,0,222,128,45.72127139,100,inf,1.05E-28,6.15E-25,1.64E-27,1,1,0,1,1
group_2932,,LPS glycosyltransferase subfamily protein,187,0,222,128,45.72127139,100,inf,1.05E-28,6.15E-25,1.64E-27,1,1,0,1,1
group_1441,,hypothetical protein,187,0,222,128,45.72127139,100,inf,1.05E-28,6.15E-25,1.64E-27,1,1,0,1,1
group_2499,,Putative uncharacterized protein,1,43,408,85,0.244498778,66.40625,0.004844961,1.15E-28,6.75E-25,1.80E-27,1,1,1,1,1
group_1763,,hypothetical protein,186,0,223,128,45.47677262,100,inf,1.17E-28,6.85E-25,1.82E-27,1,1,0,1,1
cdtA,,Cytolethal distending toxin subunit A,225,128,184,0,55.01222494,0,0,3.04E-28,1.78E-24,4.71E-27,1,0,1,1,1
group_2281,,hypothetical protein,183,0,226,128,44.74327628,100,inf,3.98E-28,2.33E-24,6.15E-27,1,1,0,1,1
group_1306,,membrane protein,409,88,0,40,100,31.25,inf,5.83E-28,3.42E-24,8.95E-27,1,1,0,1,1
group_4134,,IS1595 family transposase ISCco3,0,40,409,88,0,68.75,0,5.83E-28,3.42E-24,8.95E-27,1,0,1,1,1
group_3108,,Hypothetical protein,0,40,409,88,0,68.75,0,5.83E-28,3.42E-24,8.95E-27,1,0,1,1,1
group_2279,,HAD superfamily hydrolase,182,0,227,128,44.49877751,100,inf,7.89E-28,4.63E-24,1.21E-26,1,1,0,1,1
ptmA,,flagellin modification protein A,350,44,59,84,85.57457213,65.625,11.32511556,9.38E-28,5.50E-24,1.42E-26,1,1,1,1,1
group_1947,,DegT family aminotransferase,350,44,59,84,85.57457213,65.625,11.32511556,9.38E-28,5.50E-24,1.42E-26,1,1,1,1,1
neuC,,UDP-N-acetylglucosamine 2-epimerase,350,44,59,84,85.57457213,65.625,11.32511556,9.38E-28,5.50E-24,1.42E-26,1,1,1,1,1
maf-4,,PseE,59,84,350,44,14.42542787,34.375,0.08829932,9.38E-28,5.50E-24,1.42E-26,1,1,1,1,1
group_1870,,hypothetical protein,181,0,228,128,44.25427873,100,inf,9.95E-28,5.84E-24,1.50E-26,1,1,0,1,1
group_974,,capsular polysaccharide biosynthesis protein,181,0,228,128,44.25427873,100,inf,9.95E-28,5.84E-24,1.50E-26,1,1,0,1,1
group_3056,,hypothetical protein,9,52,400,76,2.200488998,59.375,0.032884615,1.10E-27,6.45E-24,1.65E-26,1,1,1,1,1
group_718,,Amino acid adenylation domain protein,60,84,349,44,14.66992665,34.375,0.090053213,2.00E-27,1.17E-23,3.00E-26,1,1,1,1,1
maf3,,Motility accessory factor 3,58,83,351,45,14.1809291,35.15625,0.089589126,2.27E-27,1.33E-23,3.39E-26,1,1,1,1,1
group_135,,putative sugar transferase,179,0,230,128,43.76528117,100,inf,2.48E-27,1.46E-23,3.70E-26,1,1,0,1,1
group_3589,,Putative glycosyltransferase,0,39,409,89,0,69.53125,0,3.26E-27,1.91E-23,4.83E-26,1,0,1,1,1
group_2037,,Hypothetical protein,0,39,409,89,0,69.53125,0,3.26E-27,1.91E-23,4.83E-26,1,0,1,1,1
group_4131,,putative sugar transferase,0,39,409,89,0,69.53125,0,3.26E-27,1.91E-23,4.83E-26,1,0,1,1,1
group_1855,,nucleotide sugar dehydratase,350,45,59,83,85.57457213,64.84375,10.94161959,4.85E-27,2.84E-23,7.15E-26,1,1,1,1,1
